34:51.9,Gyro: -0.91, Setpoint:0.00, Output: -22.25, linear: 0.00, LSteps: -347, RSteps: 52, RPM: 13.45
34:51.9,Gyro: -0.91, Setpoint:0.00, Output: -22.25, linear: 0.00, LSteps: -348, RSteps: 50, RPM: 11.09
34:51.9,Gyro: -0.99, Setpoint:0.00, Output: -20.68, linear: 0.00, LSteps: -349, RSteps: 49, RPM: 11.56
34:51.9,Gyro: -1.04, Setpoint:0.00, Output: -19.77, linear: 0.00, LSteps: -349, RSteps: 49, RPM: 11.56
34:51.9,Gyro: -1.12, Setpoint:0.00, Output: -18.67, linear: 0.00, LSteps: -350, RSteps: 48, RPM: 9.42
34:51.9,Gyro: -1.12, Setpoint:0.00, Output: -18.67, linear: 0.00, LSteps: -352, RSteps: 46, RPM: 463.25
34:51.9,Gyro: -1.14, Setpoint:0.00, Output: -17.98, linear: 0.00, LSteps: -352, RSteps: 45, RPM: 8.94
34:51.9,Gyro: -1.19, Setpoint:0.00, Output: -17.29, linear: 0.00, LSteps: -353, RSteps: 45, RPM: 8.94
34:51.9,Gyro: -1.19, Setpoint:0.00, Output: -17.29, linear: 0.00, LSteps: -354, RSteps: 44, RPM: 6.71
34:51.9,Gyro: -1.20, Setpoint:0.00, Output: -16.36, linear: 0.00, LSteps: -354, RSteps: 43, RPM: 17.07
34:51.9,Gyro: -1.21, Setpoint:0.00, Output: -15.68, linear: 0.00, LSteps: -356, RSteps: 43, RPM: 17.07
34:51.9,Gyro: -1.21, Setpoint:0.00, Output: -15.68, linear: 0.00, LSteps: -356, RSteps: 42, RPM: 17.07
34:51.9,Gyro: -1.20, Setpoint:0.00, Output: -15.29, linear: 0.00, LSteps: -356, RSteps: 42, RPM: 17.07
34:51.9,Gyro: -1.17, Setpoint:0.00, Output: -14.89, linear: 0.00, LSteps: -356, RSteps: 42, RPM: 17.07
34:51.9,Gyro: -1.17, Setpoint:0.00, Output: -14.89, linear: 0.00, LSteps: -358, RSteps: 40, RPM: 43.78
34:52.0,Gyro: -1.21, Setpoint:0.00, Output: -14.06, linear: 0.00, LSteps: -358, RSteps: 40, RPM: 7.55
34:52.0,Gyro: -1.24, Setpoint:0.00, Output: -13.20, linear: 0.00, LSteps: -359, RSteps: 39, RPM: 7.55
34:52.0,Gyro: -1.24, Setpoint:0.00, Output: -13.20, linear: 0.00, LSteps: -359, RSteps: 39, RPM: 7.55
34:52.0,Gyro: -1.25, Setpoint:0.00, Output: -12.50, linear: 0.00, LSteps: -359, RSteps: 39, RPM: 1365.86
34:52.0,Gyro: -1.22, Setpoint:0.00, Output: -12.20, linear: 0.00, LSteps: -361, RSteps: 39, RPM: 1365.86
34:52.0,Gyro: -1.19, Setpoint:0.00, Output: -11.91, linear: 0.00, LSteps: -361, RSteps: 38, RPM: 6.71
34:52.0,Gyro: -1.13, Setpoint:0.00, Output: -11.91, linear: 0.00, LSteps: -362, RSteps: 38, RPM: 6.71
34:52.0,Gyro: -1.03, Setpoint:0.00, Output: -12.59, linear: 0.00, LSteps: -362, RSteps: 38, RPM: 6.71
34:52.0,Gyro: -0.97, Setpoint:0.00, Output: -12.60, linear: 0.00, LSteps: -363, RSteps: 37, RPM: 5.32
